     COMPOSITE TABLE:
cl:: commodity         cl:: yr         cl:: USe         cl:: arcdestnode         cl:: ICMM_USA_export_MMst         cl:: ICMM_USA_export_Mmt         cl:: ICMM_USA_export_trills
     'Metallurgical'        2029            'UE'             'JPN_demand'             1.31407417                        1.192109452                      33.44397415
     'Metallurgical'        2029            'UE'             'WEU_demand'             12.62148406                       11.45003135                      321.2243238
     'Metallurgical'        2029            'UE'             'EEAE_demand'            6.43333358                        5.836228992                      163.7321902
     'Metallurgical'        2029            'UG'             'BRZ_demand'             0.9897935035                      0.89792663                       25.19083709
     'Metallurgical'        2029            'UG'             'CHI_demand'             8.882065153                       8.057683549                      226.0538744
     'Metallurgical'        2029            'UG'             'JPN_demand'             0.381054817                       0.3456875262                     9.698073169
     'Metallurgical'        2029            'UG'             'WEU_demand'             3.068308162                       2.783525652                      78.09027922
     'Metallurgical'        2029            'UG'             'EEAE_demand'            2.559222897                       2.321690719                      65.13375452
     'Metallurgical'        2029            'UI'             'CAN_demand'             2.773276932                       2.515877505                      70.58155785
     'Metallurgical'        2030            'UE'             'BRZ_demand'             4.76626902                        4.323891664                      121.3043993
     'Metallurgical'        2030            'UE'             'CHI_demand'             34.84308717                       31.60915457                      886.7774234
     'Metallurgical'        2030            'UE'             'JPN_demand'             1.280315947                       1.161484471                      32.58480718
     'Metallurgical'        2030            'UE'             'WEU_demand'             12.38928914                       11.23938741                      315.314824
     'Metallurgical'        2030            'UE'             'EEAE_demand'            6.892294606                       6.252591926                      175.413023
     'Metallurgical'        2030            'UG'             'BRZ_demand'             1.038996453                       0.9425628484                     26.44308162
     'Metallurgical'        2030            'UG'             'CHI_demand'             9.582695754                       8.693285695                      243.8853426
     'Metallurgical'        2030            'UG'             'JPN_demand'             0.3712656182                      0.3368069039                     9.4489322
     'Metallurgical'        2030            'UG'             'WEU_demand'             3.011861109                       2.732317686                      76.65366794
     'Metallurgical'        2030            'UG'             'EEAE_demand'            2.741800646                       2.487322665                      69.78046753
     'Metallurgical'        2030            'UI'             'CAN_demand'             2.779940126                       2.521922259                      70.7511401
     'Metallurgical'        2031            'UE'             'BRZ_demand'             4.991864084                       4.528548307                      127.0459288
     'Metallurgical'        2031            'UE'             'CHI_demand'             34.81625694                       31.58481456                      886.094578
     'Metallurgical'        2031            'UE'             'JPN_demand'             1.246541225                       1.130844522                      31.72522028
     'Metallurgical'        2031            'UE'             'WEU_demand'             12.0047839                        10.89056972                      305.5289357
     'Metallurgical'        2031            'UE'             'EEAE_demand'            7.296380807                       6.619173197                      185.6972587
     'Metallurgical'        2031            'UG'             'BRZ_demand'             1.088173802                       0.9871758414                     27.69467457
     'Metallurgical'        2031            'UG'             'CHI_demand'             9.575316788                       8.686591602                      243.6975435
     'Metallurgical'        2031            'UG'             'JPN_demand'             0.3614716348                      0.327921941                      9.199669461
     'Metallurgical'        2031            'UG'             'WEU_demand'             2.918387113                       2.647519403                      74.27469881
