COMPOSITE TABLE:
pu_id               mx_unt_echo         Plantid             Unitid              PlantName                     PlantState          NDReg_plant         Bit_share      GOB_share      Lig_share      SubBit_share   Plant_L_Prof   Plant_S_Prof
983_4               171                 983                 "4"                 "Clifty Creek"                "IN"                7                   0.9528         0.0000         0.0000         0.0472         1              2
983_5               172                 983                 "5"                 "Clifty Creek"                "IN"                7                   0.9528         0.0000         0.0000         0.0472         1              2
983_6               173                 983                 "6"                 "Clifty Creek"                "IN"                7                   0.9528         0.0000         0.0000         0.0472         1              2
988_1               174                 988                 "1"                 "Tanners Creek"               "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
988_2               175                 988                 "2"                 "Tanners Creek"               "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
988_3               176                 988                 "3"                 "Tanners Creek"               "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
988_4               177                 988                 "4"                 "Tanners Creek"               "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
991_3               178                 991                 "3"                 "Eagle Valley"                "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
991_4               179                 991                 "4"                 "Eagle Valley"                "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
991_5               180                 991                 "5"                 "Eagle Valley"                "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
991_6               181                 991                 "6"                 "Eagle Valley"                "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
994_4               182                 994                 "4"                 "AES Petersburg"              "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
994_ST1             183                 994                 "ST1"               "AES Petersburg"              "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
994_ST2             184                 994                 "ST2"               "AES Petersburg"              "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
994_ST3             185                 994                 "ST3"               "AES Petersburg"              "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
995_7               186                 995                 "7"                 "Bailly"                      "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
995_8               187                 995                 "8"                 "Bailly"                      "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
996_11              188                 996                 "11"                "Dean H Mitchell"             "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
996_5               189                 996                 "5"                 "Dean H Mitchell"             "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
996_6               190                 996                 "6"                 "Dean H Mitchell"             "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
997_12              191                 997                 "12"                "Michigan City"               "IN"                7                   0.1252         0.0000         0.0000         0.8748         1              10
1001_1              192                 1001                "1"                 "Cayuga"                      "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
1001_2              193                 1001                "2"                 "Cayuga"                      "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
1004_7              194                 1004                "7"                 "Edwardsport"                 "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
1004_8              195                 1004                "8"                 "Edwardsport"                 "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
1004_CT1            196                 1004                "CT1"               "Edwardsport"                 "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
1004_CT2            197                 1004                "CT2"               "Edwardsport"                 "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
