!rng_produced in MMcf/yr
!lcoe in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_type	rng_produced	lcoe	
625	AZ	farm		225.785		33.171	
626	CA	farm		224.500		33.233	
627	MI	farm		222.737		33.320	
628	ID	farm		220.137		33.450	
629	CA	farm		217.657		33.577	
630	TX	farm		217.657		33.577	
631	WI	farm		216.193		33.653	
632	ID	farm		213.712		33.785	
633	CA	farm		211.591		33.900	
634	WA	farm		211.441		33.908	
635	KS	farm		210.455		33.963	
636	NM	farm		210.097		33.983	
637	TX	farm		209.350		34.024	
638	CO	farm		208.633		34.065	
639	ID	farm		207.826		34.110	
640	AZ	farm		207.467		34.131	
641	CA	farm		206.152		34.206	
642	MN	farm		205.286		34.256	
643	ID	farm		202.447		34.424	
644	TX	farm		202.089		34.445	
645	CA	farm		201.222		34.498	
646	ID	farm		197.457		34.730	
647	CA	farm		196.740		34.775	
648	NM	farm		195.903		34.829	
649	WI	farm		195.754		34.838	
650	TX	farm		195.664		34.844	
651	AZ	farm		193.393		34.991	
652	ID	farm		192.825		35.028	
653	CA	farm		192.646		35.040	
654	CO	farm		192.556		35.046	
655	KS	farm		190.584		35.178	
656	FL	farm		190.226		35.202	
657	TX	farm		189.927		35.223	
658	CA	farm		188.851		35.296	
659	WA	farm		188.791		35.300	
660	ID	farm		188.552		35.317	
661	CA	farm		185.385		35.539	
662	NM	farm		185.325		35.543	
663	TX	farm		184.757		35.584	
664	MN	farm		184.698		35.588	
665	ID	farm		184.518		35.601	
666	WI	farm		182.277		35.765	
667	CA	farm		182.128		35.776	
668	AZ	farm		182.098		35.778	
669	MI	farm		181.650		35.811	
670	ID	farm		180.783		35.876	
671	CO	farm		180.693		35.883	
672	TX	farm		180.066		35.930	
673	CA	farm		179.080		36.005	
674	ID	farm		177.257		36.146	
675	IA	farm		176.988		36.167	
676	NM	farm		176.958		36.169	
677	CA	farm		176.241		36.226	
678	TX	farm		175.763		36.263	
679	KS	farm		175.494		36.285	
680	GA	farm		175.016		36.323	
681	ID	farm		173.940		36.410	
682	OR	farm		173.940		36.410	
683	WA	farm		173.880		36.415	
684	CA	farm		173.582		36.439	
685	IN	farm		173.522		36.444	
686	AZ	farm		172.775		36.505	
687	WI	farm		172.386		36.537	
688	TX	farm		171.849		36.581	
689	CO	farm		171.430		36.616	
690	CA	farm		171.042		36.649	
691	SD	farm		170.892		36.661	
692	ID	farm		170.803		36.669	
693	NM	farm		170.085		36.729	
694	OK	farm		169.996		36.737	
695	MN	farm		169.338		36.793	
696	CA	farm		168.681		36.849	
697	TX	farm		168.203		36.891	
698	ID	farm		167.844		36.922	
699	NY	farm		167.127		36.985	
700	UT	farm		167.008		36.995	
701	CA	farm		166.440		37.045	
702	ID	farm		165.065		37.168	
703	AZ	farm		164.886		37.184	
704	TX	farm		164.826		37.189	
705	WI	farm		164.677		37.203	
706	CA	farm		164.318		37.235	
707	NM	farm		164.318		37.235	
708	CO	farm		163.870		37.276	
709	KS	farm		163.541		37.306	
710	WA	farm		162.974		37.359	
711	ID	farm		162.406		37.411	
712	CA	farm		162.257		37.425	
713	MI	farm		161.868		37.461	
714	TX	farm		161.689		37.478	
715	FL	farm		160.404		37.600	
716	CA	farm		160.344		37.605	
717	ID	farm		159.866		37.651	
718	NM	farm		159.358		37.700	
719	TX	farm		158.760		37.758	
720	CA	farm		158.491		37.784	
721	WI	farm		158.372		37.796	
722	AZ	farm		158.133		37.819	
723	UT	farm		157.625		37.869	
724	CO	farm		157.565		37.875	
725	ID	farm		157.446		37.887	
726	MN	farm		157.296		37.902	
727	CA	farm		156.758		37.955	
728	TX	farm		156.011		38.030	
729	ID	farm		155.175		38.115	
730	CA	farm		155.055		38.127	
731	NM	farm		155.025		38.130	
732	WA	farm		154.517		38.182	
733	KS	farm		153.770		38.259	
734	CA	farm		153.442		38.294	
735	TX	farm		153.412		38.297	
736	WI	farm		153.113		38.328	
737	ID	farm		152.963		38.344	
738	AZ	farm		152.186		38.425	
739	CO	farm		152.157		38.429	
740	UT	farm		151.977		38.448	
741	CA	farm		151.888		38.457	
742	NM	farm		151.171		38.534	
743	TX	farm		150.991		38.553	
744	ID	farm		150.842		38.569	
745	CA	farm		150.423		38.614	
746	MI	farm		149.975		38.663	
747	CA	farm		149.139		38.755	
748	WI	farm		148.511		38.824	
749	TX	farm		148.481		38.828	
750	CA	farm		148.272		38.851	
751	NM	farm		148.182		38.861	
752	ID	farm		148.033		38.878	
753	WA	farm		147.644		38.921	
754	CA	farm		147.435		38.945	
755	CA	farm		146.599		39.040	
756	IA	farm		146.419		39.060	
757	OH	farm		146.061		39.101	
758	NM	farm		145.852		39.125	
759	AZ	farm		145.792		39.132	
760	CA	farm		145.792		39.132	
