MNUMYR,MNUMNR,MNUMYRVIN,M3,GDS_Vintage45V
39,12,39,3,0.0001
39,13,34,2,0.1238
39,13,35,2,0.1567
39,13,35,3,0.0007
39,13,36,2,0.0517
39,13,36,3,0.0009
39,13,37,1,0.4488
39,13,37,3,0.0007
39,13,38,3,0.0007
39,13,39,3,0.0007
39,14,34,2,0.0356
39,14,35,2,0.0311
39,14,35,3,0.0002
39,14,36,2,0.0136
39,14,36,3,0.0003
39,14,37,1,0.0916
39,14,37,2,0.0026
39,14,37,3,0.0002
39,14,38,1,0.2672
39,14,38,2,0.1584
39,14,38,3,0.0002
39,14,39,1,0.6412
39,14,39,2,0.4701
39,14,39,3,0.0002
39,15,34,2,0.0605
39,15,34,3,0.087
39,15,35,2,0.0458
39,15,35,3,0.0878
39,15,36,2,0.0098
39,15,36,3,0.001
39,15,37,1,0.1429
39,15,37,3,0.0009
39,15,38,1,0.8571
39,15,38,3,0.0008
39,15,39,2,0.6069
39,15,39,3,0.0009
39,16,34,2,0.0435
39,16,35,2,0.0556
39,16,35,3,0.0002
39,16,36,3,0.0002
39,16,37,1,0.1776
39,16,37,3,0.0002
39,16,38,1,0.7404
39,16,38,2,0.2331
39,16,38,3,0.0002
39,16,39,2,0.6188
39,16,39,3,0.0002
39,17,34,1,0.0422
39,17,34,2,0.0539
39,17,35,1,0.0211
39,17,35,2,0.0439
39,17,35,3,0.0029
39,17,36,2,0.3566
39,17,36,3,0.0035
39,17,37,1,0.0364
39,17,37,3,0.003
39,17,38,1,0.1594
39,17,38,3,0.0029
39,17,39,1,0.1012
39,17,39,2,0.4836
39,17,39,3,0.0029
39,18,34,1,0.0626
39,18,34,2,0.0032
39,18,35,3,0.0008
39,18,36,1,0.0157
39,18,36,2,0.9092
39,18,36,3,0.001
39,18,37,1,0.0552
39,18,37,3,0.0008
39,18,38,1,0.1068
39,18,38,3,0.0008
39,18,39,1,0.0373
39,18,39,2,0.0672
39,18,39,3,0.0008
39,19,34,2,0.3655
39,19,35,3,0.0002
39,19,36,1,0.046
39,19,36,2,0.4513
39,19,36,3,0.0002
39,19,37,1,0.1291
39,19,37,3,0.0002
39,19,38,1,0.0055
39,19,38,3,0.0002
39,19,39,1,0.2169
39,19,39,3,0.0002
39,20,34,1,0.0219
39,20,34,2,0.2111
39,20,35,1,0.0149
39,20,35,2,0.3017
39,20,35,3,0.001
39,20,36,1,0.0175
39,20,36,2,0.0527
39,20,36,3,0.0012
39,20,37,1,0.2854
39,20,37,3,0.001
39,20,38,3,0.001
39,20,39,1,0.301
39,20,39,3,0.001
39,21,34,1,0.0388
39,21,34,2,0.0679
39,21,34,3,0.0002
39,21,35,1,0.0347
39,21,35,2,0.1537
39,21,35,3,0.0004
39,21,36,1,0.0534
39,21,36,2,0.0153
39,21,36,3,0.0003
39,21,37,3,0.0003
39,21,38,2,0.0384
39,21,38,3,0.0002
39,21,39,1,0.2749
39,21,39,2,0.2324
39,21,39,3,0.0003
39,22,34,2,0.1103
39,22,34,3,0.0021
39,22,35,1,0.0054
39,22,35,2,0.0942
39,22,35,3,0.0019
39,22,36,1,0.0031
39,22,36,2,0.1306
39,22,36,3,0.001
39,22,37,3,0.0009
39,22,38,3,0.0112
39,22,39,3,0.0112
39,23,34,1,0.0311
39,23,34,2,0.2374
39,23,34,3,0.0006
39,23,35,1,0.056
39,23,35,2,0.0856
39,23,35,3,0.0002
39,23,36,1,0.0646
39,23,36,2,0.2607
39,23,36,3,0.0001
39,23,37,3,0.0001
39,23,38,3,0.0001
39,23,39,3,0.0001
39,24,34,1,0.0314
39,24,34,2,0.2957
39,24,35,1,0.0157
39,24,35,2,0.2385
39,24,35,3,0.0045
39,24,36,1,0.0396
39,24,36,2,0.0465
39,24,36,3,0.0054
39,24,37,1,0.0886
39,24,37,3,0.0046
39,24,38,1,0.175
39,24,38,3,0.0044
39,24,39,1,0.2056
39,24,39,3,0.0045
