!Resid             Play     ITEM  COUNTER
@
UGTX2691316       5827     914     839
UGKS2692016       5902     915     840
UGKS2692716       5903     916     841
UGOK2693116       6001     917     842
UGOK2694916       6101     918     843
UGOK2696816       6104     919     268
UGOK2697516       6107     920     844
UGOK2697916       6108     921     845
UGOK2698916       6111     922     846
UGOK2699516       6202     923     847
UGAR2699916       6203     924     273
UGOK2700216       6204     925     274
UGOK2700816       6205     926     275
UGOK2701416       6206     927     848
UGMI2703616       6307     928     849
UGMI2704416       6308     929     850
UGMI2707316       6310     930     851
UGMI2708316       6312     931     852
UGMI2709216       6313     932     853
UGMI2709516       6318     933     854
UGKY2732616       6405     934     280
UGMS2742816   99923065     935     855
UGAL2742816   99901065     936     856
UGVA2753516   99945067     937     857
UGWV2753516   99947067     938     858
UGPA2753616   99937067     939     859
UGKY2753816   99916067     940     860
UGTN2753816   99941067     941     861
UGOH2754016   99934067     942     862
UGNY2754116   99931067     943     287
UGNJ2754216   99929067     944     863
UGPA2835516       6802     945     292
UGGA2836016       6901     946     864
UOTX0000217       4749     947     865
UOTX0000217       4749     948     866
UOTX2241017       4747     954     872
UOWA2017210        405     959     877
UOCA2063110   99904010     960     878
UOCA2069610       1101     961       3
UOCA2069910       1102     962       4
UOCA2070510       1104     963       6
UOCA2070710       1105     964       7
UOCA2071510       1106     965       8
UOCA2071910       1107     966       9
UOCA2072710       1202     968      12
